City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,constantia,44.1833,28.65,30.88,47,0,10.87,RO,1730683150
296,mahibadhoo,3.7833,72.9667,81.46,76,39,12.55,MV,1730683151
297,porto novo,6.4965,2.6036,77.77,85,8,2.13,BJ,1730683153
298,urangan,-25.3,152.9,73.33,75,57,10.25,AU,1730683154
299,parun,35.4207,70.9221,34.75,45,3,13.18,AF,1730683155
300,nikolayevsk-on-amure,53.1406,140.73,26.15,63,100,3.22,RU,1730683156
301,selfoss,63.9331,-20.9971,51.04,98,100,20.56,IS,1730683158
302,puerto ayacucho,5.6639,-67.6236,81.46,77,99,1.97,VE,1730683159
303,san antonio de pale,-1.4014,5.6325,77.67,82,99,9.26,GQ,1730683160
304,sipalay,9.75,122.5,83.23,76,100,5.23,PH,1730683162
305,karratha,-20.7377,116.8463,98.02,18,0,9.66,AU,1730683163
306,kulhudhuffushi,6.6221,73.07,82.22,74,100,8.48,MV,1730683166
307,broken hill,-31.95,141.4333,75.04,30,18,10.69,AU,1730683167
308,afaahiti,-17.75,-149.2833,77.09,63,60,0.63,PF,1730683168
309,shache,38.4167,77.2406,47.71,42,0,2.01,CN,1730683170
310,tsiombe,-25.3,45.4833,73.18,85,28,16.37,MG,1730683171
311,olinda,-8.0089,-34.8553,80.33,69,40,12.66,BR,1730683172
312,medina,24.4686,39.6142,75.63,50,0,5.75,SA,1730683173
313,salinopolis,-0.6136,-47.3561,80.13,77,1,14.85,BR,1730683175
314,novodvinsk,64.4165,40.8122,28.15,92,84,7.43,RU,1730683176
315,crucecita,-28.95,-58.9833,74.21,87,0,8.39,AR,1730683177
316,flying fish cove,-10.4217,105.6791,80.28,94,75,12.66,CX,1730683178
317,juneau,58.3019,-134.4197,42.8,95,100,9.22,US,1730683180
318,pathein,16.7833,94.7333,77.67,84,59,4.05,MM,1730683181
319,springbok,-29.6643,17.8865,49.46,71,97,6.62,ZA,1730683182
320,yuanping,38.7153,112.7575,38.21,33,0,6.4,CN,1730683184
321,petauke,-14.2426,31.3253,72.81,63,75,3.78,ZM,1730683185
322,nishinoomote,30.7333,131.0,73.96,83,75,5.75,JP,1730683186
323,pizarro,4.9533,-77.366,76.8,88,100,6.31,CO,1730683188
324,san patricio,28.017,-97.5169,80.55,76,35,18.54,US,1730683189
325,khovd,48.0056,91.6419,27.52,66,100,1.16,MN,1730683190
326,cockburn town,21.4612,-71.1419,81.68,77,50,7.63,TC,1730683191
327,bokoro,12.3807,17.0568,78.3,25,66,11.34,TD,1730683193
328,fort mcmurray,56.7268,-111.381,31.51,100,100,3.44,CA,1730683194
329,bardai,11.65,7.2333,66.09,28,15,8.77,NG,1730683195
330,assare,-6.8744,-39.875,78.22,36,0,4.07,BR,1730683196
331,atbara,17.7022,33.9864,72.5,24,5,15.82,SD,1730683197
332,nyurba,63.2842,118.3319,-9.74,100,66,2.13,RU,1730683199
333,saint-philippe,-21.3585,55.7679,73.44,85,40,7.99,RE,1730683200
334,qamdo,31.1667,97.2333,34.2,61,100,4.65,CN,1730683201
335,kourou,5.1552,-52.6478,79.95,84,40,9.19,GF,1730683202
336,port douglas,-16.4833,145.4667,80.22,63,84,12.66,AU,1730683203
337,dunedin,-45.8742,170.5036,51.8,90,100,6.64,NZ,1730683204
